POS,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date,Year,Metric,Source_File
142,Praveen Kumar,18,15,120.0,1,2,KKR,M. Chinnaswamy Stadium,18 April 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
143,Stephen Fleming,45,39,115.38,3,2,RCB,Chidambaram,21 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
144,Robin Uthappa,22,21,104.76,0,2,DC,DY Patil Stadium,04 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
145,Adam Gilchrist,23,22,104.54,1,2,KKR,Eden Gardens,20 April 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
146,David Hussey,31,31,100.0,0,2,DC,Eden Gardens,13 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
147,Herschelle Gibbs,22,22,100.0,1,2,DC,Arun Jaitley Stadium,15 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
148,Debabrata Das,27,32,84.37,1,2,CSK,Eden Gardens,18 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
149,Andrew Symonds,32,39,82.05,2,2,KKR,Eden Gardens,20 April 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
150,Laxmi Ratan Shukla,14,3,466.66,2,1,DEC,Rajiv Gandhi Intl. Cricket Stadium,11 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
1,Yusuf Pathan,62,30,206.66,3,6,DC,Supersport Park,28 April 2009,2009,Most Sixes Innings,Most Sixes Innings - 2009.csv
2,Matthew Hayden,89,58,153.44,8,6,PBKS,Supersport Park,07 May 2009,2009,Most Sixes Innings,Most Sixes Innings - 2009.csv
3,Ross Taylor,81,33,245.45,7,5,KKR,Supersport Park,12 May 2009,2009,Most Sixes Innings,Most Sixes Innings - 2009.csv
4,Adam Gilchrist,85,35,242.85,10,5,DC,Supersport Park,22 May 2009,2009,Most Sixes Innings,Most Sixes Innings - 2009.csv
5,Dwayne Smith,49,23,213.04,2,5,CSK,Buffalo Park,04 May 2009,2009,Most Sixes Innings,Most Sixes Innings - 2009.csv
6,Adam Gilchrist,64,33,193.93,5,5,DC,Kingsmead,13 May 2009,2009,Most Sixes Innings,Most Sixes Innings - 2009.csv
7,Suresh Raina,98,55,178.18,10,5,RR,Supersport Park,30 April 2009,2009,Most Sixes Innings,Most Sixes Innings - 2009.csv
8,Rohit Sharma,52,30,173.33,1,5,RCB,Newlands,22 April 2009,2009,Most Sixes Innings,Most Sixes Innings - 2009.csv
9,Adam Gilchrist,71,45,157.77,6,5,RCB,Newlands,22 April 2009,2009,Most Sixes Innings,Most Sixes Innings - 2009.csv
10,Ravi Bopara,84,59,142.37,4,5,RCB,Kingsmead,24 April 2009,2009,Most Sixes Innings,Most Sixes Innings - 2009.csv
